iter	Passed	Remaining
0	143	143208
1	150	74950
2	156	52132
3	163	40823
4	167	33417
5	170	28244
6	172	24507
7	175	21702
8	177	19500
9	180	17894
10	182	16432
11	184	15210
12	186	14181
13	188	13293
14	191	12593
15	195	12048
16	198	11458
17	199	10904
18	201	10398
19	202	9940
20	204	9540
21	206	9194
22	208	8845
23	209	8533
24	211	8249
25	212	7976
26	214	7725
27	215	7494
28	217	7276
29	219	7090
30	220	6903
31	222	6727
32	223	6557
33	225	6400
34	226	6253
35	228	6114
36	230	5986
37	231	5865
38	233	5752
39	234	5638
40	236	5533
41	238	5430
42	239	5337
43	241	5244
44	243	5157
45	244	5072
46	246	4995
47	248	4926
48	250	4853
49	251	4781
50	253	4710
51	254	4642
52	256	4576
53	257	4513
54	259	4457
55	261	4400
56	262	4348
57	264	4295
58	266	4243
59	267	4191
60	269	4142
61	270	4092
62	271	4044
63	274	4007
64	275	3969
65	277	3928
66	279	3885
67	280	3845
68	282	3806
69	283	3765
70	284	3728
71	286	3693
72	288	3657
73	289	3621
74	291	3592
75	292	3560
76	294	3528
77	295	3497
78	297	3466
79	298	3436
80	300	3407
81	301	3380
82	302	3345
83	304	3317
84	305	3291
85	307	3267
86	308	3241
87	310	3216
88	311	3191
89	313	3168
90	314	3146
91	316	3123
92	318	3101
93	319	3082
94	321	3061
95	322	3040
96	324	3018
97	325	2998
98	327	2978
99	328	2959
100	330	2941
101	331	2922
102	333	2904
103	335	2888
104	336	2870
105	338	2852
106	339	2835
107	341	2818
108	342	2803
109	344	2785
110	345	2769
111	347	2753
112	349	2740
113	350	2726
114	352	2710
115	353	2696
116	355	2679
117	356	2665
118	358	2650
119	359	2637
120	361	2624
121	362	2609
122	364	2599
123	366	2587
124	367	2573
125	369	2562
126	370	2547
127	372	2534
128	373	2522
129	375	2510
130	376	2498
131	378	2489
132	380	2477
133	381	2466
134	383	2455
135	384	2443
136	386	2432
137	387	2421
138	389	2410
139	390	2399
140	392	2390
141	393	2378
142	395	2368
143	397	2361
144	398	2351
145	399	2339
146	401	2329
147	403	2321
148	404	2311
149	406	2300
150	408	2295
151	410	2287
152	411	2279
153	413	2270
154	414	2261
155	416	2252
156	417	2243
157	419	2234
158	420	2226
159	422	2219
160	423	2208
161	425	2200
162	426	2191
163	428	2184
164	430	2176
165	431	2168
166	433	2160
167	434	2153
168	436	2145
169	438	2138
170	439	2130
171	440	2122
172	442	2115
173	444	2108
174	445	2100
175	447	2093
176	448	2085
177	450	2078
178	451	2072
179	453	2065
180	455	2058
181	456	2052
182	458	2045
183	459	2038
184	461	2031
185	462	2024
186	464	2017
187	466	2013
188	468	2008
189	469	2001
190	470	1994
191	472	1987
192	473	1980
193	475	1974
194	476	1968
195	478	1961
196	479	1956
197	481	1950
198	483	1944
199	484	1938
200	486	1931
201	487	1926
202	489	1919
203	490	1913
204	491	1907
205	493	1901
206	495	1897
207	497	1893
208	498	1888
209	500	1882
210	501	1876
211	503	1871
212	504	1865
213	506	1859
214	507	1854
215	509	1849
216	511	1845
217	512	1838
218	513	1832
219	515	1826
220	517	1822
221	518	1817
222	520	1812
223	521	1807
224	523	1803
225	525	1799
226	526	1794
227	528	1788
228	529	1783
229	531	1779
230	532	1774
231	534	1770
232	536	1765
233	538	1762
234	540	1759
235	541	1754
236	543	1749
237	544	1744
238	546	1739
239	548	1735
240	549	1731
241	551	1726
242	564	1759
243	567	1759
244	570	1758
245	572	1756
246	575	1753
247	577	1750
248	580	1751
249	583	1749
250	584	1744
251	586	1741
252	588	1737
253	590	1733
254	591	1728
255	593	1724
256	594	1719
257	596	1716
258	598	1711
259	599	1706
260	601	1703
261	603	1701
262	607	1701
263	609	1700
264	612	1698
265	614	1694
266	616	1691
267	618	1688
268	619	1684
269	621	1680
270	623	1677
271	624	1672
272	626	1668
273	628	1664
274	629	1660
275	631	1655
276	632	1650
277	634	1646
278	637	1646
279	639	1644
280	641	1640
281	643	1639
282	645	1634
283	646	1630
284	648	1626
285	649	1622
286	651	1618
287	653	1614
288	655	1611
289	658	1611
290	659	1607
291	661	1603
292	662	1599
293	664	1594
294	665	1590
295	667	1586
296	670	1585
297	673	1585
298	675	1584
299	677	1580
300	679	1577
301	681	1574
302	683	1571
303	685	1568
304	687	1566
305	689	1563
306	690	1559
307	692	1555
308	693	1551
309	695	1548
310	697	1544
311	699	1541
312	701	1539
313	703	1536
314	704	1532
315	706	1528
316	707	1525
317	709	1522
318	711	1518
319	713	1515
320	716	1514
321	717	1511
322	719	1508
323	721	1504
324	722	1500
325	724	1497
326	725	1493
327	727	1490
328	730	1489
329	731	1485
330	733	1481
331	734	1478
332	736	1474
333	737	1471
334	739	1467
335	741	1464
336	743	1462
337	745	1459
338	746	1456
339	748	1452
340	749	1449
341	751	1445
342	752	1442
343	756	1443
344	759	1441
345	761	1438
346	762	1435
347	764	1432
348	765	1428
349	767	1425
350	769	1422
351	771	1419
352	773	1417
353	775	1414
354	776	1411
355	778	1407
356	779	1404
357	781	1401
358	782	1397
359	784	1394
360	785	1391
361	787	1388
362	789	1385
363	791	1382
364	792	1379
365	794	1376
366	796	1373
367	797	1370
368	799	1367
369	801	1363
370	803	1362
371	805	1359
372	806	1355
373	808	1352
374	809	1349
375	811	1346
376	812	1343
377	814	1340
378	816	1338
379	818	1334
380	819	1331
381	821	1328
382	822	1325
383	824	1322
384	825	1319
385	827	1316
386	829	1313
387	831	1312
388	833	1308
389	834	1305
390	836	1302
391	838	1299
392	839	1296
393	841	1293
394	842	1290
395	843	1287
396	846	1285
397	847	1282
398	849	1279
399	851	1276
400	852	1273
401	854	1271
402	855	1267
403	857	1265
404	860	1263
405	861	1260
406	863	1257
407	864	1254
408	866	1251
409	867	1248
410	869	1245
411	870	1242
412	872	1240
413	875	1239
414	876	1235
415	878	1232
416	879	1230
417	881	1227
418	882	1224
419	884	1221
420	885	1217
421	887	1215
422	889	1213
423	890	1210
424	892	1207
425	893	1204
426	895	1201
427	896	1198
428	898	1195
429	899	1192
430	901	1190
431	903	1188
432	905	1185
433	907	1182
434	908	1180
435	909	1177
436	911	1174
437	912	1171
438	914	1168
439	916	1165
440	918	1164
441	920	1161
442	921	1158
443	922	1155
444	924	1152
445	925	1149
446	927	1147
447	928	1144
448	930	1141
449	932	1140
450	934	1137
451	935	1134
452	937	1131
453	938	1129
454	940	1126
455	941	1123
456	943	1120
457	944	1117
458	947	1116
459	949	1114
460	950	1111
